dataset,instance_id,category,transform,scale,aligned_dims,aligned_planes
ShapeNet,02880940/8bb057d18e2fcc4779368d1198f406e7,Bowl,"1.0\,0.0\,0.0\,1.4551915228366852e-11\,0.0\,1.0\,0.0\,0.0\,0.0\,0.0\,1.0\,-0.0035406570420020156\,0.0\,0.0\,0.0\,1.0",0.2786601988657167,"0.18917740010726547\,0.18917740010726547\,0.07794460589368724","0.0\,0.0\,-1.0\,-0.03118960184291364\,0.0\,0.0\,1.0\,0.03897230294684362"
ShapeNet,02880940/8d1f575e9223b28b8183a4a81361b94,Bowl,"1.0\,0.0\,0.0\,-4.3655745685100555e-11\,0.0\,1.0\,0.0\,1.4551915228366852e-10\,0.0\,0.0\,1.0\,0.00911132026309569\,0.0\,0.0\,0.0\,1.0",0.2980234937485499,"0.1992126125073792\,0.1992126125073792\,0.09719350967346196","0.0\,0.0\,-1.0\,-0.04625697102920623\,0.0\,0.0\,1.0\,0.04625697102920623"
ShapeNet,02880940/8d457deaf22394da65c5c31ac688ec4,Bowl,"1.0\,0.0\,0.0\,1.4428643435593358e-07\,0.0\,1.0\,0.0\,-1.4425733052547685e-07\,0.0\,0.0\,1.0\,-0.003003120609988086\,0.0\,0.0\,0.0\,1.0",0.28502090927271584,"0.1993883799037821\,0.1993883799037821\,0.04153923377971713",
ShapeNet,02880940/8d75c3c065fa3c7055f46d55537192b6,Bowl,"1.0\,0.0\,0.0\,-1.7462298274040222e-10\,0.0\,1.0\,0.0\,-2.9103830456733704e-10\,0.0\,0.0\,1.0\,0.025565342406379088\,0.0\,0.0\,0.0\,1.0",0.2795906557681478,"0.17931994866063405\,0.17931994866063405\,0.11772640292660697",
ShapeNet,02880940/9024177b7ed352f45126f17934e17803,Bowl,"1.0\,0.0\,0.0\,0.0001500120085697887\,0.0\,1.0\,0.0\,-8.315315363915943e-05\,0.0\,0.0\,1.0\,-0.007747354762983605\,0.0\,0.0\,0.0\,1.0",0.2606650470169343,"0.16921567522362935\,0.16921854177213191\,0.10333153814613638","0.0\,0.0\,1.0\,0.039522947263514574\,0.0\,0.0\,-1.0\,-0.039522947263514574"
ShapeNet,02880940/92f04b8d36c98d18221d647283ba1e26,Bowl,"1.0\,0.0\,0.0\,-1.7462298274040222e-10\,0.0\,1.0\,0.0\,1.1641532182693481e-10\,0.0\,0.0\,1.0\,-0.006344198480836227\,0.0\,0.0\,0.0\,1.0",0.2857232480610927,"0.19941539317797918\,0.19941539317797918\,0.04587858139922152","-0.005006846395103605\,-0.038029177141671\,-0.9992640858026987\,-0.024420740738168144\,0.038032186228749425\,0.005007663323587598\,0.9992639671871989\,0.024420845724752702"
ShapeNet,02880940/95ac294f47fd7d87e0b49f27ced29e3,Bowl,"1.0\,0.0\,0.0\,1.4551915228366852e-11\,0.0\,1.0\,0.0\,4.3655745685100555e-11\,0.0\,0.0\,1.0\,0.008599415821264556\,0.0\,0.0\,0.0\,1.0",0.2983009346582937,"0.2092718225510417\,0.2092718225510417\,0.037335343750552585","0.0\,0.0\,1.0\,0.01616731353909162\,0.0\,0.0\,-1.0\,-0.018667671875276293"
ShapeNet,02880940/960c5c5bff2d3a4bbced73c51e99f8b2,Bowl,"1.0\,0.0\,0.0\,1.556561373128318e-07\,0.0\,1.0\,0.0\,-1.7462298274040222e-10\,0.0\,0.0\,1.0\,0.004719430477797104\,0.0\,0.0\,0.0\,1.0",0.3164538531954275,"0.21921485829306686\,0.21921454706810373\,0.06350374199025532","0.0\,0.0\,-1.0\,-0.03175187099512766\,0.0\,0.0\,1.0\,0.03175187099512766"
ShapeNet,02880940/98d3408054ab409fd261c3d31246fed3,Bowl,"1.0\,0.0\,0.0\,-1.427234135320532e-07\,0.0\,1.0\,0.0\,5.820766091346741e-11\,0.0\,0.0\,1.0\,0.0006920139870540964\,0.0\,0.0\,0.0\,1.0",0.2818209471957457,"0.18924981582102873\,0.18924897592913936\,0.08827449373390373",
ShapeNet,02880940/9a52843cc89cd208362be90aaa182ec6,Bowl,"1.0\,0.0\,0.0\,5.332928308732221e-05\,0.0\,1.0\,0.0\,1.3466102623205245e-05\,0.0\,0.0\,1.0\,0.0004786459570804702\,0.0\,0.0\,0.0\,1.0",0.264007028871784,"0.17941178305057548\,0.17941179091859816\,0.0729557013205886","0.0\,0.0\,-1.0\,-0.025799559114493054\,0.0\,0.0\,1.0\,0.0364778506602943"
ShapeNet,02880940/9c7edf31042fea84df95dda4222cd1bf,Bowl,"1.0\,0.0\,0.0\,-0.0015095834727132385\,0.0\,1.0\,0.0\,-0.0027904617258438513\,0.0\,0.0\,1.0\,0.0014725620649058135\,0.0\,0.0\,0.0\,1.0",0.2985730362018443,"0.2191932180088365\,0.20169504639275804\,0.02047613892120459","0.0\,0.0\,-1.0\,-0.004160615320597749\,0.0\,0.0\,1.0\,-0.005983702184566869"
ShapeNet,02880940/9dcfab1fab6232003bec56bff764ba78,Bowl,"1.0\,0.0\,0.0\,-7.856477401402273e-05\,0.0\,1.0\,0.0\,-0.00029749193027095444\,0.0\,0.0\,1.0\,-0.013244093880563357\,0.0\,0.0\,0.0\,1.0",0.32872323087919847,"0.21893492952115867\,0.21893492952115867\,0.10977745243049641","0.0\,0.0\,-1.0\,-0.05488872621524821\,0.0\,0.0\,1.0\,0.05488872621524821\,0.0\,0.0\,-1.0\,0.05488872621524821\,0.0\,0.0\,1.0\,-0.05134771811493777"
ShapeNet,02880940/9ea66797afeb86196ea1c514a0de6d2d,Bowl,"1.0\,0.0\,0.0\,2.546585164964199e-11\,0.0\,1.0\,0.0\,-2.0372681319713593e-10\,0.0\,0.0\,1.0\,-0.0005553180054587159\,0.0\,0.0\,0.0\,1.0",0.25362740871696865,"0.16914920018565027\,0.1691496990589343\,0.08428368894006866","0.0\,0.0\,-1.0\,-0.04214184447003433\,0.0\,0.0\,1.0\,0.032140555700729045\,0.0\,0.0\,-1.0\,0.04214184447003433\,0.0\,0.0\,1.0\,-0.04214184447003433"
ShapeNet,02880940/a042621b3378bc18a2c59a4d90e63212,Bowl,"1.0\,0.0\,0.0\,-2.0372681319713593e-10\,0.0\,1.0\,0.0\,-8.731149137020111e-11\,0.0\,0.0\,1.0\,-0.005311713085378367\,0.0\,0.0\,0.0\,1.0",0.2307936509786054,"0.1594539531945216\,0.1594539531945216\,0.04913781714418475","0.0\,0.0\,1.0\,0.024568908572092374\,0.0\,0.0\,-1.0\,-0.024568908572092374\,0.0\,0.0\,-1.0\,0.024568908572092374\,0.0\,0.0\,1.0\,-0.023376396038571334"
ShapeNet,02880940/a08af31cb43f1f662d88c45db31bc366,Bowl,"1.0\,0.0\,0.0\,0.0027748737075654617\,0.0\,1.0\,0.0\,0.0028800474765358075\,0.0\,0.0\,1.0\,-0.0007538476086662582\,0.0\,0.0\,0.0\,1.0",0.21618757893012347,"0.1495401933272298\,0.14953997426890187\,0.044861950401872575","0.0\,0.0\,-1.0\,-0.022430975200936287\,0.0\,0.0\,1.0\,0.01733716196936297"
ShapeNet,02880940/a0ac0c76dbb4b7685430c0f7a585e679,Bowl,"1.0\,0.0\,0.0\,2.5264925485046774e-07\,0.0\,1.0\,0.0\,-2.525910471895543e-07\,0.0\,0.0\,1.0\,-0.0024334728722279486\,0.0\,0.0\,0.0\,1.0",0.25270995903597854,"0.1694036175507856\,0.1694036175507856\,0.08041811989468783","0.0\,0.0\,-1.0\,-0.04020905994734392\,0.0\,0.0\,1.0\,0.04020905994734392"
ShapeNet,02880940/a1393437aac09108d627bfab5d10d45d,Bowl,"1.0\,0.0\,0.0\,0.0001507083360383632\,0.0\,1.0\,0.0\,-0.0029248983482963453\,0.0\,0.0\,1.0\,-0.0020872300040811753\,0.0\,0.0\,0.0\,1.0",0.31562529104136094,"0.2191572553135348\,0.21915693549707882\,0.05966264641398911","0.009432042189675038\,0.05375381705049112\,-0.9985096713265399\,-0.020689604809658445\,-0.00943204218967506\,-0.05375381705049112\,0.9985096713265399\,0.020689604809658445"
ShapeNet,02880940/a1d26a16a0caa78243f1c519d66bb167,Bowl,"1.0\,0.0\,0.0\,-0.0012131233350842763\,0.0\,1.0\,0.0\,-0.002153870365745547\,0.0\,0.0\,1.0\,0.008927222273835689\,0.0\,0.0\,0.0\,1.0",0.2632933748087812,"0.17904976758178037\,0.17905504060070854\,0.07213764922469501","0.0\,0.0\,-1.0\,-0.036068824612347505\,0.0\,0.0\,1.0\,0.036068824612347505"
ShapeNet,02880940/a2841256fc6fd90da518b93bb7233de6,Bowl,"1.0\,0.0\,0.0\,1.5916157281026244e-12\,0.0\,1.0\,0.0\,7.275957614183426e-12\,0.0\,0.0\,1.0\,0.00401629945222548\,0.0\,0.0\,0.0\,1.0",0.25184509828274965,"0.1689759734463312\,0.1689759734463312\,0.07950069775083746","0.0\,0.0\,1.0\,-0.03975034887541873\,0.0\,0.0\,-1.0\,0.03975034887541873\,0.0\,0.0\,-1.0\,-0.03975034887541873\,0.0\,0.0\,1.0\,0.03975034887541873"
ShapeNet,02880940/a29f53390194166665c638ab0bc6bc66,Bowl,"1.0\,0.0\,0.0\,0.001993739673063377\,0.0\,1.0\,0.0\,1.110603166809554e-05\,0.0\,0.0\,1.0\,-0.0034486229160741178\,0.0\,0.0\,0.0\,1.0",0.24404667458824084,"0.16917437382946154\,0.16917437382946154\,0.04815431296844863","0.0\,0.0\,-1.0\,-0.024077156484224316\,0.0\,0.0\,1.0\,0.024077156484224316\,0.0\,0.0\,1.0\,-0.024077156484224316\,0.0\,0.0\,-1.0\,0.024077156484224316"
ShapeNet,02880940/a593e8863200fdb0664b3b9b23ddfcbc,Bowl,"1.0\,0.0\,0.0\,9.772278111164212e-07\,0.0\,1.0\,0.0\,8.731149137020111e-11\,0.0\,0.0\,1.0\,0.010378649053566669\,0.0\,0.0\,0.0\,1.0",0.2790637271152716,"0.18914130488962844\,0.18914325932524179\,0.0795420946466896","0.0\,0.0\,-1.0\,-0.027001646600932627\,0.0\,0.0\,1.0\,0.027001646600932627"
ShapeNet,02880940/a5f42bbfddcadf05eeb8d422649e5f2b,Bowl,"1.0\,0.0\,0.0\,1.3842983115353036e-07\,0.0\,1.0\,0.0\,-2.9103830456733704e-10\,0.0\,0.0\,1.0\,-0.0018769104647224921\,0.0\,0.0\,0.0\,1.0",0.2810376950941573,"0.189367974441641\,0.18936825083564202\,0.08521540716752263","0.0\,0.0\,1.0\,0.042607703583761314\,0.0\,0.0\,-1.0\,-0.042607703583761314"
ShapeNet,02880940/a73d531b90965199e5f6d587dbc348b5,Bowl,"1.0\,0.0\,0.0\,-6.51874342225689e-05\,0.0\,1.0\,0.0\,0.0001766038862385244\,0.0\,0.0\,1.0\,-0.0014759752049553487\,0.0\,0.0\,0.0\,1.0",0.31340415604045924,"0.1295637787294881\,0.12956346583374945\,0.026992558005969336","0.0\,0.0\,1.0\,-0.010796928633153291\,0.0\,0.0\,-1.0\,0.010796928633153291"
ShapeNet,02880940/a83b2eb519fbef17e922c0c19528ec07,Bowl,"1.0\,0.0\,0.0\,-0.0021432020451408462\,0.0\,1.0\,0.0\,8.821197634301114e-05\,0.0\,0.0\,1.0\,-0.008173706595506536\,0.0\,0.0\,0.0\,1.0",0.2864098028695392,"0.19911094482199054\,0.19911094482199054\,0.05234797794082224","-0.04001549569842408\,-0.008596020721162567\,0.999162083213615\,0.02624831437140405\,0.040880674349259495\,-0.002045400668332418\,-0.999161942230015\,-0.026248324614035617"
ShapeNet,02880940/a98b76254bcd32c05481b689f582aa44,Bowl,"1.0\,0.0\,0.0\,-7.275957614183426e-12\,0.0\,1.0\,0.0\,5.820766091346741e-11\,0.0\,0.0\,1.0\,0.0018035438120219682\,0.0\,0.0\,0.0\,1.0",0.31084859153707844,"0.21925704991249262\,0.21925704991249262\,0.02189804045717625","0.0\,0.0\,1.0\,0.0037351564828366213\,0.0\,0.0\,-1.0\,-0.0037351564828366213\,-0.19423090360745285\,0.33004553439663137\,0.9237663672751213\,0.024419619457379593\,-0.19423386876739107\,0.3300452337442307\,-0.9237658512341577\,-0.024419705211447373\,0.19423386876739107\,-0.3300452337442308\,0.9237658512341577\,0.024419705211447377\,0.19422464196939526\,-0.3300320013654062\,-0.9237725188197604\,-0.031822468787927924\,-0.33002968822616124\,-0.19422982110121906\,0.9237722562863269\,0.03182245974651396\,0.3300444231202141\,0.19423339170963422\,0.9237662411628913\,0.024419616123072037\,-0.3300342643044939\,-0.1942259737145966\,-0.9237714303438964\,-0.0318226057164414\,0.33004686941363454\,0.1942316892613455\,-0.9237657251040132\,-0.024419701878122705\,0.3332237482284099\,-0.188699748065948\,0.9237718001197358\,0.03182260462220979\,-0.1886990069250782\,-0.33322243945221314\,-0.9237724236147156\,-0.03182243308295548\,-0.3332187559563457\,0.18870408932129507\,0.9237727141198349\,0.0318224430902485\,0.18871578223252936\,0.3332331670886013\,-0.9237651270146892\,-0.024419774448642215\,-0.18870892449786666\,-0.3332337472159819\,0.9237663186819779\,0.024419576426709118"
ShapeNet,02880940/a9ba34614bfd8ca9938afc5c0b5b182,Bowl,"1.0\,0.0\,0.0\,8.369939489050182e-06\,0.0\,1.0\,0.0\,8.36994312702899e-06\,0.0\,0.0\,1.0\,-0.008811307896875675\,0.0\,0.0\,0.0\,1.0",0.17256433240367405,"0.09944451155087286\,0.09944485097684286\,0.099999992436409",
ShapeNet,02880940/aa70f5e55fa61d8dac6b8e58caf61f95,Bowl,"1.0\,0.0\,0.0\,-1.4099340717166342e-07\,0.0\,1.0\,0.0\,-1.4551915228366852e-11\,0.0\,0.0\,1.0\,-0.00470768069290628\,0.0\,0.0\,0.0\,1.0",0.2782483053832477,"0.1790580698966835\,0.17905724065209938\,0.11532056901719301","0.0\,0.0\,1.0\,-0.057660284508596504\,0.0\,0.0\,-1.0\,0.05065789032076751"
ShapeNet,02880940/aad3cd6a40a15cb8664b3b9b23ddfcbc,Bowl,"1.0\,0.0\,0.0\,-1.5245823270504388e-07\,0.0\,1.0\,0.0\,-1.480028428701985e-07\,0.0\,0.0\,1.0\,0.008909902824480453\,0.0\,0.0\,0.0\,1.0",0.30094928971383467,"0.20922505648125167\,0.20922384566796204\,0.054961764892085485","0.0\,0.0\,-1.0\,-0.023812911933837833\,0.0\,0.0\,1.0\,0.027480882446042743"
ShapeNet,02880940/ab2fd38fc4f37cce86bbb74f0f607cdd,Bowl,"1.0\,0.0\,0.0\,0.00015423543087189628\,0.0\,1.0\,0.0\,0.0029061911007501884\,0.0\,0.0\,1.0\,-0.002605761450003574\,0.0\,0.0\,0.0\,1.0",0.3033130445248324,"0.20930208264723493\,0.2093014679657772\,0.06621505722856802","0.0\,0.0\,1.0\,0.03310752861428401\,0.0\,0.0\,-1.0\,-0.03310752861428401"
ShapeNet,02880940/ae5c7d8a453d3ef736b0f2a1430e993a,Bowl,"1.0\,0.0\,0.0\,2.1827872842550278e-11\,0.0\,1.0\,0.0\,-1.0913936421275139e-11\,0.0\,0.0\,1.0\,0.004570064235552618\,0.0\,0.0\,0.0\,1.0",0.27857765285291003,"0.1889202261687739\,0.1889202261687739\,0.0788920783676117","0.0\,0.0\,-1.0\,0.03944603918380585\,0.0\,0.0\,1.0\,-0.03944603918380585\,0.0\,0.0\,1.0\,0.03944603918380585\,0.0\,0.0\,-1.0\,-0.03944603918380585"
ShapeNet,02880940/aeb7b4bb33fd43a14e23e9314af9ae57,Bowl,"1.0\,0.0\,0.0\,-2.9103830456733704e-11\,0.0\,1.0\,0.0\,0.0\,0.0\,0.0\,1.0\,-0.0049531143313116255\,0.0\,0.0\,0.0\,1.0",0.2741828864896794,"0.1893402847328005\,0.1893402847328005\,0.05896522481273414","0.0\,0.0\,1.0\,0.027124091010051754\,0.0\,0.0\,-1.0\,-0.027124091010051754"
ShapeNet,02880940/aeec00d8dd6e196451a2ad3de1977657,Bowl,"1.0\,0.0\,0.0\,2.722348657613338e-07\,0.0\,1.0\,0.0\,-1.3769260576168563e-07\,0.0\,0.0\,1.0\,-0.0010790563830593847\,0.0\,0.0\,0.0\,1.0",0.2726954115303454,"0.18919226487073004\,0.18919144404808463\,0.052684210956850386","0.0\,0.0\,1.0\,0.026342105478425193\,0.0\,0.0\,-1.0\,-0.026342105478425193\,0.0\,0.0\,-1.0\,0.026342105478425193\,0.0\,0.0\,1.0\,-0.026342105478425193"
ShapeNet,02880940/afb6bf20c56e86f3d8fdbcba78c84028,Bowl,"1.0\,0.0\,0.0\,0.0024789549007078193\,0.0\,1.0\,0.0\,-0.00032526869934002\,0.0\,0.0\,1.0\,0.010992472318116175\,0.0\,0.0\,0.0\,1.0",0.24419574981540254,"0.1592822906097302\,0.1592864461195016\,0.09427909585941951","0.0\,0.0\,1.0\,0.043155738582194236\,0.0\,0.0\,-1.0\,-0.043155738582194236"
ShapeNet,02880940/b195dbe537993945e4e346ee2650d150,Bowl,"1.0\,0.0\,0.0\,-2.9103830456733704e-11\,0.0\,1.0\,0.0\,0.0\,0.0\,0.0\,1.0\,-0.004297892133293013\,0.0\,0.0\,0.0\,1.0",0.2572971974697117,"0.1791586008204913\,0.1791586008204913\,0.04478978056203653","0.0\,0.0\,-1.0\,-0.003777122845967665\,0.0\,0.0\,1.0\,0.003777122845967665\,0.0\,0.0\,1.0\,-0.022394890281018265\,0.0\,0.0\,-1.0\,0.022394890281018265"
ShapeNet,02880940/b5d1f064841b476dba5342d638d0c267,Bowl,"1.0\,0.0\,0.0\,-3.13658928163818e-07\,0.0\,1.0\,0.0\,5.820766091346741e-11\,0.0\,0.0\,1.0\,-0.003218657667071856\,0.0\,0.0\,0.0\,1.0",0.31416855851351577,"0.21917908205882597\,0.21917845474096964\,0.05121701760986763","0.0\,0.0\,-1.0\,-0.018861109542240406\,0.0\,0.0\,1.0\,0.018861109542240406"
ShapeNet,02880940/b5d81a5bbbb8efe7c785f06f424b9d06,Bowl,"1.0\,0.0\,0.0\,1.4957417970862252e-07\,0.0\,1.0\,0.0\,-2.9103830456733704e-10\,0.0\,0.0\,1.0\,-0.002704544211838744\,0.0\,0.0\,0.0\,1.0",0.2949982646622156,"0.19918311867873761\,0.1991834175942664\,0.08761271293969752","0.0\,0.0\,1.0\,0.040410926624526944\,0.0\,0.0\,-1.0\,-0.040410926624526944"
ShapeNet,02880940/b69e25e7ab9b829215b14098c484b7c1,Bowl,"1.0\,0.0\,0.0\,4.29420031089478e-07\,0.0\,1.0\,0.0\,4.301185230204396e-07\,0.0\,0.0\,1.0\,-0.007693148625450008\,0.0\,0.0\,0.0\,1.0",0.28563506081979234,"0.19931985523015605\,0.19931985523015605\,0.046158911310474116","0.0\,0.0\,1.0\,0.023079455655237058\,0.0\,0.0\,-1.0\,-0.023079455655237058"
ShapeNet,02880940/b941ca9770b59c3918a27ff49f2f297f,Bowl,"1.0\,0.0\,0.0\,-0.00016178698439794914\,0.0\,1.0\,0.0\,0.00011017465762286349\,0.0\,0.0\,1.0\,-0.01350610328604418\,0.0\,0.0\,0.0\,1.0",0.2891665767110729,"0.17913493579930773\,0.17913464279290636\,0.13942282164272513","0.0\,0.0\,-1.0\,-0.03377060791024178\,0.0\,0.0\,1.0\,0.03377060791024178"
ShapeNet,02880940/baa4d6ca9521a55b51d6f7c8e810987e,Bowl,"1.0\,0.0\,0.0\,5.820766091346741e-11\,0.0\,1.0\,0.0\,-2.6193447411060333e-10\,0.0\,0.0\,1.0\,0.022329868899768734\,0.0\,0.0\,0.0\,1.0",0.24825050835319895,"0.16938728197463782\,0.16938728197463782\,0.06514887934071178","0.0\,0.0\,-1.0\,-0.03094516960101712\,0.0\,0.0\,1.0\,0.03094516960101712\,0.006396500534948365\,0.018844355318084344\,-0.9998019679184235\,0.03423033031266503\,0.00483890278369341\,0.009812133406246652\,0.9999401517380269\,-0.030031175982256995"
ShapeNet,02880940/baeaa576ba746179e8d7df9e0b95a9b2,Bowl,"1.0\,0.0\,0.0\,5.89014344853922e-07\,0.0\,1.0\,0.0\,4.3954774042731515e-07\,0.0\,0.0\,1.0\,-0.012522895512093957\,0.0\,0.0\,0.0\,1.0",0.295073144711172,"0.1992280761806029\,0.1992283751720194\,0.08766033267800477","0.0\,0.0\,-1.0\,-0.035861126129988374\,0.0\,0.0\,1.0\,0.035861126129988374"
ShapeNet,02880940/bbf4b10b538c7d03bcbbc78f3e874841,Bowl,"1.0\,0.0\,0.0\,6.984919309616089e-10\,0.0\,1.0\,0.0\,-6.984919309616089e-10\,0.0\,0.0\,1.0\,0.02221505503440513\,0.0\,0.0\,0.0\,1.0",0.3230038090731302,"0.20912429478124395\,0.20912429478124395\,0.12986723528222033",
ShapeNet,02880940/be3c2533130dd3da55f46d55537192b6,Bowl,"1.0\,0.0\,0.0\,1.4249734103799483e-07\,0.0\,1.0\,0.0\,1.8189894035458565e-11\,0.0\,0.0\,1.0\,-0.02733461617700028\,0.0\,0.0\,0.0\,1.0",0.28936856035738123,"0.18907776247131203\,0.1892019028699039\,0.11039179554872991","0.032827025595860426\,0.003452606756697546\,0.9994550844820954\,0.01706049946234563\,-0.03265629747320479\,0.004822559753378214\,-0.99945500606719\,-0.017060600705056553"
ShapeNet,02880940/be8a2f8460a963426a6acc5f155f864,Bowl,"1.0\,0.0\,0.0\,-2.3283064365386963e-10\,0.0\,1.0\,0.0\,1.1641532182693481e-10\,0.0\,0.0\,1.0\,-0.01464559907979579\,0.0\,0.0\,0.0\,1.0",0.305221664423658,"0.20937107875276695\,0.20937107875276695\,0.07407943954214513",
ShapeNet,02880940/bec41cc7f631e00b1bf40e92cbe8569f,Bowl,"1.0\,0.0\,0.0\,0.002416021030336335\,0.0\,1.0\,0.0\,-0.0003732640466358461\,0.0\,0.0\,1.0\,-0.0017622434907474394\,0.0\,0.0\,0.0\,1.0",0.24089142785937395,"0.169435559957809\,0.16943507895650356\,0.024739789735969686","0.0\,0.0\,-1.0\,-0.0033251447498251763\,0.0\,0.0\,1.0\,0.0033251447498251763"
ShapeNet,02880940/bed9f618bef8d3e9f6d436d018e2b50f,Bowl,"1.0\,0.0\,0.0\,-0.0025046763541798356\,0.0\,1.0\,0.0\,-3.4257685097571766e-05\,0.0\,0.0\,1.0\,-0.008985499933285457\,0.0\,0.0\,0.0\,1.0",0.2762559674063736,"0.1893969437611709\,0.18939667206988275\,0.0676390631239796","0.0\,0.0\,1.0\,0.020733561834363368\,0.0\,0.0\,-1.0\,-0.020733561834363368"
ShapeNet,02880940/c0f57c7f98d2581c744a455c7eef0ae5,Bowl,"1.0\,0.0\,0.0\,-1.4551915228366852e-11\,0.0\,1.0\,0.0\,-1.4551915228366852e-11\,0.0\,0.0\,1.0\,0.010465381918933758\,0.0\,0.0\,0.0\,1.0",0.2712011677436956,"0.17908171404184436\,0.17908171404184436\,0.09700268872741624",
ShapeNet,02880940/c1bad5cc2d9050e48aee29ee398d36ed,Bowl,"1.0\,0.0\,0.0\,-3.113628386230971e-07\,0.0\,1.0\,0.0\,-8.003553375601768e-11\,0.0\,0.0\,1.0\,-0.005649005573048815\,0.0\,0.0\,0.0\,1.0",0.3132680021817382,"0.21935652888953605\,0.21935651955342195\,0.043614738859200086","0.0\,0.0\,1.0\,0.021807369429600043\,0.0\,0.0\,-1.0\,-0.021807369429600043"
ShapeNet,02880940/c25fd49b75c12ef86bbb74f0f607cdd,Bowl,"1.0\,0.0\,0.0\,-1.6101227728881895e-07\,0.0\,1.0\,0.0\,-1.1641532182693481e-10\,0.0\,0.0\,1.0\,-0.005506743011094883\,0.0\,0.0\,0.0\,1.0",0.3187235515503929,"0.20926081838797472\,0.20926049543209757\,0.11834110201299097",
ShapeNet,02880940/c2882316451828fd7945873d861da519,Bowl,"1.0\,0.0\,0.0\,-0.0002814786623517307\,0.0\,1.0\,0.0\,3.001332515850663e-11\,0.0\,0.0\,1.0\,0.021553783420522055\,0.0\,0.0\,0.0\,1.0",0.2720923086320597,"0.17999968130775024\,0.1789115855572252\,0.09810668878270357",
ShapeNet,02880940/c399bfee7f25f0ff95aab58c1db71c10,Bowl,"1.0\,0.0\,0.0\,1.2807687799210044e-07\,0.0\,1.0\,0.0\,-1.2794591075504513e-07\,0.0\,0.0\,1.0\,-0.0009498477713081321\,0.0\,0.0\,0.0\,1.0",0.2601614728465201,"0.16905473907056212\,0.16905473907056212\,0.10259154877301224","0.0\,0.0\,1.0\,-0.05129577438650612\,0.0\,0.0\,-1.0\,0.05129577438650612"
ShapeNet,02880940/c6be3b333b1f7ec9d42a2a5a47e9ed5,Bowl,"1.0\,0.0\,0.0\,-2.2881423819676172e-05\,0.0\,1.0\,0.0\,0.0001354580743204714\,0.0\,0.0\,1.0\,0.009903309184509101\,0.0\,0.0\,0.0\,1.0",0.26302591909982115,"0.16922718958555905\,0.1692271817467761\,0.10911866503280798","0.0\,0.0\,1.0\,0.04807600839274784\,0.0\,0.0\,-1.0\,-0.04807600839274784"
ShapeNet,02880940/c82e28d7f713f07a5a15f0bff2482ab8,Bowl,"1.0\,0.0\,0.0\,-0.00017803848638475728\,0.0\,1.0\,0.0\,-0.0024033926637150316\,0.0\,0.0\,1.0\,-0.00965050900370712\,0.0\,0.0\,0.0\,1.0",0.3156754398545377,"0.21916019925092733\,0.219159879383648\,0.059906359873134196","0.0\,0.0\,-1.0\,0.029953179936567098\,0.0\,0.0\,1.0\,-0.029953179936567098"
ShapeNet,02880940/c8a4719150446e84664b3b9b23ddfcbc,Bowl,"1.0\,0.0\,0.0\,0.0005915250481336454\,0.0\,1.0\,0.0\,-0.0005912915084740344\,0.0\,0.0\,1.0\,-0.0048343001755074555\,0.0\,0.0\,0.0\,1.0",0.2304791298905372,"0.1594346338458883\,0.1594346338458883\,0.04776864501529077","0.0\,0.0\,1.0\,0.023884322507645384\,0.0\,0.0\,-1.0\,-0.02092543168808647"
ShapeNet,02880940/cda15ee9ad73f9d4661dc36b3dd991aa,Bowl,"1.0\,0.0\,0.0\,0.011683476515239821\,0.0\,1.0\,0.0\,0.008110671747215914\,0.0\,0.0\,1.0\,0.007163928409941067\,0.0\,0.0\,0.0\,1.0",0.28842052180891947,"0.19939001198073836\,0.19939030423119153\,0.06060897696529044","0.0\,0.0\,-1.0\,-0.03030448848264522\,0.0\,0.0\,1.0\,0.03030448848264522"
ShapeNet,02880940/ce48ffb418b99996912a38ce5826ebb8,Bowl,"1.0\,0.0\,0.0\,-1.5129514085998608e-07\,0.0\,1.0\,0.0\,1.5136062447851373e-07\,0.0\,0.0\,1.0\,-0.0049323514850018735\,0.0\,0.0\,0.0\,1.0",0.298667940893217,"0.2092906651215145\,0.20929005985363958\,0.039969835442513646","0.0\,0.0\,1.0\,0.019900991322223838\,-0.00609521782772942\,-0.013132260880924625\,-0.9998951905293814\,-0.019170597678123968"
ShapeNet,02880940/ce905d4381d4daf65287b12a83c64b85,Bowl,"1.0\,0.0\,0.0\,-0.00016345147816476668\,0.0\,1.0\,0.0\,-0.00817996103321672\,0.0\,0.0\,1.0\,-0.02471571715421428\,0.0\,0.0\,0.0\,1.0",0.30185489772917806,"0.19930543619934404\,0.19930574206257212\,0.10803236299956165",
ShapeNet,02880940/cfac22c8ca3339b83ce5cb00b21d9584,Bowl,"1.0\,0.0\,0.0\,-0.0008858271632630199\,0.0\,1.0\,0.0\,0.0016656100012206743\,0.0\,0.0\,1.0\,-0.006232427681705621\,0.0\,0.0\,0.0\,1.0",0.29015024586784316,"0.19999999158180604\,0.19956737459529617\,0.06603007642474923","0.0\,0.0\,-1.0\,-0.033015038212374614\,0.0\,0.0\,1.0\,0.033015038212374614"
